metro,name,area_type,score,stability,civic,engagement,stability_blend_pct,tract_long_tenure_pct,same_house_pct_b07003,civic_nodes,civic_weighted,civic_radius_m,orgs_per_1k,participation_mix
NYC,Yonkers,urban_core,42.3,52.2,35.2,39.5,83.9,79.61,87.37,20,23.5,600,0.497,full
LA,Wilmington,urban_core,42.3,51.6,35.8,39.4,84.1,78.98,94.19,22,24.5,600,0.304,full
NYC,Long Island City,urban_core,42.2,31.7,49.1,45.7,75.8,66.63,82.34,53,46.5,600,0.835,full
NYC,Cobble Hill,urban_core,42.1,43.5,35.5,47.3,80.5,73.88,87.01,20,24.0,600,1.739,full
NYC,Ozone Park,urban_core,42.1,57.7,32.1,36.5,85.8,82.12,91.74,16,18.5,600,0.163,full
NYC,Gramercy Park,urban_core,42.0,49.5,36.4,40.1,82.9,77.71,88.94,20,25.5,600,2.862,full
NYC,New Hyde Park,urban_residential,42.0,69.9,16.5,39.5,90.1,88.62,91.81,6,6.5,600,0.5,full
NYC,Flushing,urban_core,41.9,54.9,33.6,37.1,84.8,81.4,87.66,20,21.0,600,0.219,full
NYC,Williamsburg,urban_core,41.9,11.4,74.7,39.5,63.8,47.39,73.41,109,72.75,600,0.776,full
LA,Larchmont Village,suburban,41.8,40.1,30.0,55.2,79.6,73.25,84.98,4,4.0,1200,17.544,full
NYC,Bloomfield,urban_residential,41.7,27.4,55.0,42.8,74.0,71.4,84.24,11,11.5,600,0.47,full
NYC,Maspeth,urban_core,41.5,74.3,13.0,37.3,91.5,91.69,94.44,5,6.5,600,0.312,full
NYC,Ditmas Park,urban_core,41.3,49.0,35.2,39.6,82.7,78.4,84.6,20,23.5,600,1.112,full
LA,Rancho Palos Verdes,suburban,41.2,61.8,15.6,46.2,87.7,85.02,91.75,1,1.0,1200,6.312,full
NYC,Windsor Terrace,urban_core,41.1,53.1,30.6,39.5,84.2,80.19,88.09,13,16.0,600,0.798,full
NYC,Cos Cob,suburban,40.7,39.6,40.0,42.5,79.4,72.78,90.66,5,5.5,1200,0,full
NYC,St. George,urban_core,40.7,43.5,36.4,42.3,80.5,75.46,80.54,21,25.5,600,0.464,full
NYC,Washington Heights,urban_core,40.6,35.8,42.0,44.2,77.4,67.54,90.24,30,34.75,600,1.431,full
LA,Palms,urban_core,39.9,43.8,27.0,48.8,81.1,75.0,88.44,17,13.5,600,2.071,full
NYC,Belmont,urban_core,39.7,45.3,40.3,33.4,81.3,75.52,85.71,32,32.0,600,0.368,full
LA,Downtown LA,urban_core,39.7,9.5,61.8,48.0,53.2,35.31,47.93,65,58.0,1200,7.302,full
NYC,Elmhurst,urban_core,39.6,36.2,46.8,35.9,77.6,67.97,89.74,45,42.75,600,0.57,full
LA,Canoga Park,urban_core,39.6,46.5,35.8,36.7,82.2,77.67,85.48,20,24.5,600,0.844,full
